,Brand,Model,ROM,RAM,OS,Screen size,Dual Sim,Expandable Memory,5G,Fingerprint Sensor,Price
0,Huawei,Y5 Prime,16.0,2.0,Android,5.45,1,1,0,1,5000
1,Huawei,Y5,16.0,2.0,Android,5.71,1,1,0,1,5000
2,Apple,iPhone 4S,16.0,0.5,iOS,3.5,0,0,0,0,5000
3,Huawei,Y5,16.0,2.0,Android,5.71,0,0,0,0,5000
4,Huawei,Y5,16.0,2.0,Android,5.71,1,0,0,0,5000
5,Huawei,Y5,16.0,2.0,Android,5.71,1,0,0,0,5000
6,Samsung,Galaxy J2,16.0,1.0,Android,4.7,1,0,0,0,5000
7,Huawei,Y3,16.0,1.0,Android,5.0,1,1,0,0,5000
8,Huawei,Honor 4C,16.0,2.0,Android,5.0,1,0,0,0,5000
9,Samsung,Galaxy Young,16.0,0.2,Android,3.0,0,1,0,0,5000
10,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,5000
11,Samsung,Galaxy Core,16.0,1.0,Android,4.3,0,0,0,0,5000
12,Xiaomi,Redmi Note 10 Pro,16.0,6.0,Android,6.67,1,1,0,1,5000
13,Samsung,Galaxy J1,16.0,0.5,Android,4.3,0,0,0,0,5000
14,Apple,iPhone 5,16.0,1.0,iOS,4.0,0,0,0,0,5000
15,Samsung,Galaxy Core,16.0,1.0,Android,4.3,1,1,0,0,5000
16,Samsung,Galaxy J2,16.0,1.0,Android,4.7,0,0,0,0,5000
17,Samsung,Galaxy J2,16.0,1.0,Android,4.7,1,0,0,0,5000
18,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,5000
19,Samsung,Galaxy J2,16.0,1.0,Android,4.7,1,1,0,0,5000
20,Samsung,Pocket,16.0,2.0,Android,2.8,1,0,0,0,5000
21,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,5000
22,Samsung,Galaxy Core,16.0,1.0,Android,4.3,0,0,0,0,5000
23,Greentel,GT 95,16.0,0.064,Android,2.2,1,0,0,0,5000
24,Samsung,Galaxy A3,16.0,1.0,Android,4.5,0,1,0,1,5000
25,Nokia,2.4,32.0,2.0,Android,6.5,0,0,0,0,5000
26,LG,K4,16.0,1.0,Android,4.5,0,0,0,0,5000
27,Samsung,Galaxy J2,16.0,1.0,Android,4.7,1,1,0,1,5000
28,Huawei,Y3,16.0,1.0,Android,5.0,1,0,0,0,5000
29,Samsung,Galaxy Young,16.0,0.2,Android,3.0,1,1,0,0,5000
30,Samsung,Galaxy Note 5,16.0,4.0,Android,5.7,1,1,0,1,5000
31,Huawei,GR5,16.0,3.0,Android,5.5,1,1,0,1,5000
32,Apple,iPhone 5,16.0,1.0,iOS,4.0,0,1,0,0,5000
33,Samsung,Galaxy S,16.0,0.5,Android,5.0,1,1,0,0,5000
34,Huawei,Y3,16.0,1.0,Android,5.0,1,0,0,0,5000
35,Apple,iPhone 5S,16.0,1.0,iOS,4.0,0,1,0,1,5000
36,Samsung,Galaxy M02,32.0,2.0,Android,6.5,1,1,0,0,5000
37,Huawei,Y3,16.0,1.0,Android,5.0,1,1,0,0,5000
38,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,5000
39,Samsung,Galaxy J7,16.0,1.5,Android,5.5,0,0,0,0,5000
40,Samsung,Galaxy A01,16.0,2.0,Android,5.7,1,0,0,0,5000
41,Apple,iPhone 4,16.0,0.5,iOS,3.5,0,0,0,0,5000
42,LG,K7,16.0,1.5,Android,5.0,1,1,0,0,5000
43,Huawei,Y3,16.0,1.0,Android,5.0,1,0,0,0,5000
44,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,5000
45,Samsung,Galaxy J2,16.0,1.0,Android,4.7,1,1,0,0,5000
46,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,5000
47,Samsung,Galaxy Note 2,16.0,2.0,Android,5.5,0,0,0,0,5000
48,Huawei,Y3,16.0,1.0,Android,5.0,0,0,0,0,5000
49,Samsung,Galaxy J1,16.0,0.5,Android,4.3,0,0,0,0,5000
50,Samsung,Galaxy J5,16.0,1.5,Android,5.0,1,0,0,1,5000
51,Apple,iPhone 4S,16.0,0.5,iOS,3.5,0,0,0,0,5000
52,Xiaomi,Redmi 9A,16.0,2.0,Android,6.53,1,1,0,0,5000
53,Samsung,Galaxy Grand,16.0,1.0,Android,5.0,0,0,0,0,5000
54,LG,K10,16.0,1.0,Android,5.3,1,0,0,0,5000
55,Apple,iPhone 5S,64.0,1.0,iOS,4.0,0,0,0,0,5000
56,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,5000
57,Huawei,Y3,16.0,1.0,Android,5.0,1,1,0,0,5000
58,Samsung,Galaxy J5,64.0,1.5,Android,5.0,1,1,0,1,5000
59,Huawei,Y3,16.0,1.0,Android,5.0,1,0,0,0,5000
60,Apple,iPhone 4S,64.0,0.5,iOS,3.5,0,0,0,0,5000
61,Samsung,Galaxy Grand,16.0,1.0,Android,5.0,0,1,0,0,5000
62,Huawei,Y3,16.0,1.0,Android,5.0,1,0,0,0,5000
63,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,5000
64,Nokia,216,0.016,0.016,Other,2.4,1,1,0,0,5000
65,Sony,Xperia Z,8.0,2.0,Android,5.0,0,1,0,0,5000
66,Greentel,X1,16.0,2.0,Android,5.0,1,1,0,1,5000
67,Huawei,Honor 3C,16.0,2.0,Android,5.0,1,1,0,0,5000
68,Samsung,Galaxy J2,16.0,1.0,Android,4.7,1,1,0,0,5000
69,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,1,5000
70,Samsung,Galaxy S3,16.0,1.0,Android,4.8,1,0,0,0,5000
71,Nokia,C1,16.0,1.0,Android,5.45,1,1,0,1,5000
72,Samsung,Galaxy A2 Core,16.0,1.0,Android,5.0,1,1,0,0,5000
73,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,0,0,0,5000
74,Apple,iPhone 5S,64.0,1.0,iOS,4.0,1,0,0,1,5000
75,Oppo,F3,64.0,4.0,Android,5.5,1,1,0,1,5000
76,Oppo,A37,16.0,2.0,Android,5.0,1,1,0,0,5000
77,Huawei,Y5 Lite,16.0,1.0,Android,5.45,1,1,0,0,5000
78,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,0,0,0,5000
79,Samsung,Galaxy J3,16.0,2.0,Android,5.0,1,1,0,1,5000
80,Samsung,Galaxy S6 Edge,16.0,3.0,Android,5.1,0,0,0,0,5000
81,Huawei,Y3,16.0,1.0,Android,5.0,1,1,0,0,5000
82,HTC,Desire 620G,16.0,1.0,Android,5.0,1,1,0,0,5000
83,Samsung,Galaxy Y duos,16.0,0.25,Android,3.14,1,1,0,0,5000
84,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,0,0,0,5000
85,Oppo,F9,16.0,4.0,Android,6.3,1,0,0,1,5000
86,Samsung,Galaxy J2,16.0,1.0,Android,4.7,1,1,0,0,5000
87,BlackBerry,Bold,16.0,2.8,BlackBerry OS,2.8,0,0,0,0,5000
88,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,5000
89,Samsung,Galaxy J7,16.0,1.5,Android,5.5,1,1,0,0,5000
90,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,5000
91,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,1,5000
92,Huawei,GR5,16.0,3.0,Android,5.5,1,0,0,1,5000
93,Samsung,Galaxy Grand,16.0,1.0,Android,5.0,1,1,0,0,5000
94,Apple,iPhone 4S,64.0,0.5,iOS,3.5,0,0,0,0,5000
95,Samsung,Galaxy Y duos,64.0,0.25,Android,3.14,1,1,0,0,5000
96,Apple,iPhone 5,16.0,1.0,iOS,4.0,0,1,0,0,5000
97,Apple,iPhone 5S,16.0,1.0,iOS,4.0,0,0,0,0,5000
98,Samsung,Galaxy Y duos,16.0,0.25,Android,3.14,1,1,0,0,5000
99,Samsung,Galaxy Note 5,16.0,4.0,Android,5.7,0,0,0,0,5000
100,Samsung,Galaxy J5,16.0,1.5,Android,5.0,1,1,0,0,5000
101,Samsung,Galaxy A2 Core,16.0,1.0,Android,5.0,0,0,0,0,5200
102,Huawei,Y3,16.0,1.0,Android,5.0,1,0,0,0,5200
103,HTC,Desire 320,16.0,1.0,Android,4.5,1,1,0,0,5200
104,LG,K8,16.0,1.5,Android,5.0,1,0,0,0,5200
105,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,5200
106,Samsung,Galaxy J2,16.0,1.0,Android,4.7,0,0,0,0,5300
107,Huawei,Y6,16.0,2.0,Android,6.09,1,0,0,0,5500
108,LG,L Bello,16.0,1.0,Android,5.0,0,0,0,0,5500
109,LG,K10,16.0,1.0,Android,5.3,1,0,0,0,5500
110,Huawei,Y5 Prime,16.0,2.0,Android,5.45,1,1,0,0,5500
111,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,0,0,0,5500
112,Huawei,Y5,16.0,2.0,Android,5.71,1,1,0,0,5500
113,Nokia,1,16.0,1.0,Android,4.5,1,1,0,0,5500
114,Xiaomi,Poco X3 Pro,16.0,6.0,Android,6.67,1,1,0,0,5500
115,Huawei,Y3,16.0,1.0,Android,5.0,0,0,0,0,5500
116,Samsung,Galaxy A5,16.0,2.0,Android,5.0,1,0,0,0,5500
117,Huawei,Y3,16.0,1.0,Android,5.0,1,1,0,0,5500
118,Samsung,Galaxy J1,16.0,0.5,Android,4.3,0,0,0,0,5500
119,Samsung,Galaxy J3,16.0,2.0,Android,5.0,0,1,0,0,5500
120,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,0,0,0,5500
121,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,5500
122,HTC,Desire 820,16.0,2.0,Android,5.5,1,1,0,1,5500
123,HTC,Desire 526G+,16.0,1.0,Android,4.7,1,1,0,0,5500
124,Huawei,Y3,16.0,1.0,Android,5.0,1,0,0,0,5500
125,Samsung,Galaxy J2,16.0,1.0,Android,4.7,0,0,0,0,5500
126,Nokia,8,64.0,4.0,Android,5.3,0,0,0,1,5500
127,Samsung,Galaxy J1,32.0,0.5,Android,4.3,1,1,0,0,5500
128,Nokia,150,0.032,0.004,Other,2.4,1,1,0,0,5500
129,HTC,Desire,32.0,0.5,Android,3.7,1,1,0,0,5500
130,Nokia,C2,16.0,1.0,Android,5.7,1,1,0,0,5500
131,Huawei,GR3,32.0,2.0,Android,5.2,1,1,0,1,5500
132,Samsung,Galaxy Core,32.0,1.0,Android,4.3,1,1,0,0,5500
133,Huawei,Y3,32.0,1.0,Android,5.0,1,1,0,0,5500
134,Vivo,V9,64.0,4.0,Android,6.3,1,1,0,1,5500
135,Nokia,2.2,16.0,2.0,Android,5.71,1,0,0,0,5500
136,Samsung,Galaxy J7,16.0,1.5,Android,5.5,1,1,0,0,5500
137,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,5500
138,Samsung,Galaxy J7,16.0,1.5,Android,5.5,1,1,0,0,5500
139,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,5500
140,Huawei,Y3,16.0,1.0,Android,5.0,1,1,0,0,5500
141,Samsung,Galaxy A02s,16.0,4.0,Android,6.5,1,0,0,0,5500
142,Xiaomi,Redmi Note 9,16.0,6.0,Android,6.53,0,0,0,0,5500
143,Samsung,Galaxy On Nxt,16.0,3.0,Android,5.5,0,1,0,0,5500
144,Samsung,Galaxy J3,16.0,2.0,Android,5.0,1,1,0,0,5500
145,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,5500
146,Samsung,Galaxy J4+,16.0,2.0,Android,6.0,1,1,0,0,5500
147,Samsung,Galaxy J3,16.0,2.0,Android,5.0,1,1,0,0,5500
