Brand,Model,ROM,RAM,OS,Screen size,Dual Sim,Expandable Memory,5G,Fingerprint Sensor,Price
Huawei,Y5 Prime,16.0,2.0,Android,5.45,Yes,Yes,No,Yes,5000
Huawei,Y5,16.0,2.0,Android,5.71,Yes,Yes,No,Yes,5000
Apple,iPhone 4S,16.0,0.5,iOS,3.50,No,No,No,No,5000
Huawei,Y5,16.0,2.0,Android,5.71,No,No,No,No,5000
Huawei,Y5,16.0,2.0,Android,5.71,Yes,No,No,No,5000
Huawei,Y5,16.0,2.0,Android,5.71,Yes,No,No,No,5000
Samsung,Galaxy J2,16.0,1,Android,4.70,Yes,No,No,No,5000
Huawei,Y3,16.0,1.0,Android,5.00,Yes,Yes,No,No,5000
Huawei,Honor 4C,16.0,2.0,Android,5.00,Yes,No,No,No,5000
Samsung,Galaxy Young,16.0,0.2,Android,3.00,No,Yes,No,No,5000
Samsung,Galaxy J1,16.0,0.5,Android,4.30,Yes,Yes,No,No,5000
Samsung,Galaxy Core,16.0,1,Android,4.30,No,No,No,No,5000
Xiaomi,Redmi Note 10 Pro,16.0,6,Android,6.67,Yes,Yes,No,Yes,5000
Samsung,Galaxy J1,16.0,0.5,Android,4.30,No,No,No,No,5000
Apple,iPhone 5,16.0,1.0,iOS,4.00,No,No,No,No,5000
Samsung,Galaxy Core,,1,Android,4.30,Yes,Yes,No,No,5000
Samsung,Galaxy J2,16.0,1,Android,4.70,No,No,No,No,5000
Samsung,Galaxy J2,16.0,1,Android,4.70,Yes,No,No,No,5000
Samsung,Galaxy J1,16.0,0.5,Android,4.30,Yes,Yes,No,No,5000
Samsung,Galaxy J2,16.0,1,Android,4.70,Yes,Yes,No,No,5000
Samsung,Pocket,16.0,2,Android,2.80,Yes,No,No,No,5000
Samsung,Galaxy J1,16.0,0.5,Android,4.30,Yes,Yes,No,No,5000
Samsung,Galaxy Core,16.0,1,Android,4.30,No,No,No,No,5000
Greentel,GT 95,16.0,0.064,Android,2.20,Yes,No,No,No,5000
Samsung,Galaxy A3,,1,Android,4.50,No,Yes,No,Yes,5000
Nokia,2.4,32.0,2.0,Android,6.50,No,No,No,No,5000
LG,K4,16.0,1.0,Android,4.50,No,No,No,No,5000
Samsung,Galaxy J2,16.0,1,Android,4.70,Yes,Yes,No,Yes,5000
Huawei,Y3,16.0,1.0,Android,5.00,Yes,No,No,No,5000
Samsung,Galaxy Young,16.0,0.2,Android,3.00,Yes,Yes,No,No,5000
Samsung,Galaxy Note 5,,4,Android,5.70,Yes,Yes,No,Yes,5000
Huawei,GR5,16.0,3.0,Android,5.50,Yes,Yes,No,Yes,5000
Apple,iPhone 5,16.0,1,iOS,4.00,No,Yes,No,No,5000
Samsung,Galaxy S,,0.5,Android,5.00,Yes,Yes,No,No,5000
Huawei,Y3,16.0,1.0,Android,5.00,Yes,No,No,No,5000
Apple,iPhone 5S,16.0,1,iOS,4.00,No,Yes,No,Yes,5000
Samsung,Galaxy M02,32.0,2,Android,6.50,Yes,Yes,No,No,5000
Huawei,Y3,16.0,1.0,Android,5.00,Yes,Yes,No,No,5000
Samsung,Galaxy J1,16.0,0.5,Android,4.30,Yes,Yes,No,No,5000
Samsung,Galaxy J7,16.0,1.5,Android,5.50,No,No,No,No,5000
Samsung,Galaxy A01,16.0,2,Android,5.70,Yes,No,No,No,5000
Apple,iPhone 4,16.0,0.5,iOS,3.50,No,No,No,No,5000
LG,K7,16.0,1.5,Android,5.00,Yes,Yes,No,No,5000
Huawei,Y3,16.0,1.0,Android,5.00,Yes,No,No,No,5000
Samsung,Galaxy J1,16.0,0.5,Android,4.30,Yes,Yes,No,No,5000
Samsung,Galaxy J2,16.0,1,Android,4.70,Yes,Yes,No,No,5000
Samsung,Galaxy J1,16.0,0.5,Android,4.30,Yes,Yes,No,No,5000
Samsung,Galaxy Note 2,16.0,2,Android,5.50,No,No,No,No,5000
Huawei,Y3,16.0,1.0,Android,5.00,No,No,No,No,5000
Samsung,Galaxy J1,16.0,0.5,Android,4.30,No,No,No,No,5000
Samsung,Galaxy J5,16.0,1.5,Android,5.00,Yes,No,No,Yes,5000
Apple,iPhone 4S,16.0,0.5,iOS,3.50,No,No,No,No,5000
Xiaomi,Redmi 9A,16.0,2,Android,6.53,Yes,Yes,No,No,5000
Samsung,Galaxy Grand,16.0,1,Android,5.00,No,No,No,No,5000
LG,K10,16.0,1.0,Android,5.30,Yes,No,No,No,5000
Apple,iPhone 5S,64.0,1.0,iOS,4.00,No,No,No,No,5000
Samsung,Galaxy J1,16.0,0.5,Android,4.30,Yes,Yes,No,No,5000
Huawei,Y3,16.0,1.0,Android,5.00,Yes,Yes,No,No,5000
Samsung,Galaxy J5,64.0,1.5,Android,5.00,Yes,Yes,No,Yes,5000
Huawei,Y3,16.0,1.0,Android,5.00,Yes,No,No,No,5000
Apple,iPhone 4S,64.0,0.5,iOS,3.50,No,No,No,No,5000
Samsung,Galaxy Grand,16.0,1,Android,5.00,No,Yes,No,No,5000
Huawei,Y3,16.0,1.0,Android,5.00,Yes,No,No,No,5000
Samsung,Galaxy J1,16.0,0.5,Android,4.30,Yes,Yes,No,No,5000
Nokia,216,0.016,0.016,Other,2.40,Yes,Yes,No,No,5000
Sony,Xperia Z,8.0,2,Android,5.00,No,Yes,No,No,5000
Greentel,X1,16.0,2,Android,5.00,Yes,Yes,No,Yes,5000
Huawei,Honor 3C,16.0,2.0,Android,5.00,Yes,Yes,No,No,5000
Samsung,Galaxy J2,,1,Android,4.70,Yes,Yes,No,No,5000
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,Yes,5000
Samsung,Galaxy S3,16.0,1,Android,4.80,Yes,No,No,No,5000
Nokia,C1,16.0,1,Android,5.45,Yes,Yes,No,Yes,5000
Samsung,Galaxy A2 Core,16.0,1,Android,5.00,Yes,Yes,No,No,5000
Samsung,Galaxy J1,16.0,0.5,Android,4.30,Yes,No,No,No,5000
Apple,iPhone 5S,64.0,1,iOS,4.00,Yes,No,No,Yes,5000
Oppo,F3,,4,Android,5.50,Yes,Yes,No,Yes,5000
Oppo,A37,16.0,2,Android,5.00,Yes,Yes,No,No,5000
Huawei,Y5 Lite,16.0,1.0,Android,5.45,Yes,Yes,No,No,5000
Samsung,Galaxy J1,16.0,0.5,Android,4.30,Yes,No,No,No,5000
Samsung,Galaxy J3,16.0,2,Android,5.00,Yes,Yes,No,Yes,5000
Samsung,Galaxy S6 Edge,16.0,3,Android,5.10,No,No,No,No,5000
Huawei,Y3,16.0,1.0,Android,5.00,Yes,Yes,No,No,5000
HTC,Desire 620G,16.0,1,Android,5.00,Yes,Yes,No,No,5000
Samsung,Galaxy Y duos,16.0,0.25,Android,3.14,Yes,Yes,No,No,5000
Samsung,Galaxy J1,16.0,0.5,Android,4.30,Yes,No,No,No,5000
Oppo,F9,16.0,4,Android,6.30,Yes,No,No,Yes,5000
Samsung,Galaxy J2,16.0,1,Android,4.70,Yes,Yes,No,No,5000
BlackBerry,Bold,16.0,2.8,BlackBerry OS,2.80,No,No,No,No,5000
Samsung,Galaxy J1,16.0,0.5,Android,4.30,Yes,Yes,No,No,5000
Samsung,Galaxy J7,16.0,1.5,Android,5.50,Yes,Yes,No,No,5000
